timestamp,date,question,error_margin,SPD,CDU_CSU,GRUENE,FDP,AFD,LINKE,FW,BSW,SONSTIGE
1731308332,2024-11-11,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.167,0.333,0.112,0.057,0.163,0.03,0.009,0.064,0.065
1731400827,2024-11-12,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.169,0.331,0.112,0.057,0.163,0.029,0.01,0.065,0.064
1731576570,2024-11-14,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.174,0.327,0.117,0.057,0.161,0.029,0.01,0.065,0.06
1731657235,2024-11-15,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.173,0.321,0.123,0.056,0.167,0.028,0.009,0.065,0.058
1731765580,2024-11-16,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.175,0.311,0.126,0.051,0.171,0.029,0.01,0.065,0.062
1731765775,2024-11-16,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.175,0.311,0.126,0.051,0.171,0.029,0.01,0.065,0.062
1731807889,2024-11-17,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.174,0.31,0.126,0.053,0.173,0.029,0.01,0.065,0.06
1731894163,2024-11-18,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.172,0.308,0.125,0.054,0.172,0.029,0.01,0.064,0.066
1731980453,2024-11-19,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.174,0.304,0.123,0.052,0.174,0.03,0.011,0.064,0.068
1732066791,2024-11-20,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.169,0.303,0.122,0.049,0.181,0.031,0.012,0.064,0.069
1732153177,2024-11-21,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.164,0.307,0.119,0.045,0.184,0.032,0.013,0.065,0.071
1732239648,2024-11-22,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.161,0.31,0.12,0.043,0.187,0.033,0.014,0.065,0.067
1732325879,2024-11-23,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.159,0.315,0.12,0.041,0.189,0.033,0.013,0.063,0.067
1732412728,2024-11-24,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.153,0.318,0.117,0.04,0.192,0.034,0.013,0.064,0.069
1732498938,2024-11-25,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.158,0.314,0.114,0.038,0.192,0.032,0.013,0.067,0.072
1732585282,2024-11-26,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.152,0.314,0.117,0.039,0.195,0.036,0.012,0.065,0.07
1732671769,2024-11-27,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.152,0.313,0.116,0.039,0.195,0.038,0.011,0.064,0.072
1732758138,2024-11-28,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.151,0.314,0.119,0.039,0.193,0.039,0.01,0.061,0.074
1732844542,2024-11-29,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.15,0.315,0.118,0.039,0.194,0.039,0.009,0.061,0.075
1732930783,2024-11-30,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.151,0.31,0.118,0.039,0.193,0.039,0.009,0.062,0.079
1733018207,2024-12-01,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.15,0.312,0.12,0.04,0.19,0.037,0.01,0.062,0.079
1733103959,2024-12-02,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.152,0.315,0.122,0.04,0.188,0.037,0.009,0.061,0.076
1733190256,2024-12-03,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.152,0.315,0.121,0.042,0.191,0.037,0.01,0.06,0.072
1733276680,2024-12-04,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.154,0.319,0.123,0.042,0.185,0.036,0.01,0.058,0.073
1733363073,2024-12-05,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.156,0.32,0.123,0.043,0.182,0.034,0.011,0.06,0.071
1733449394,2024-12-06,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.16,0.317,0.124,0.042,0.181,0.032,0.014,0.065,0.065
1733535750,2024-12-07,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.161,0.316,0.129,0.041,0.181,0.03,0.013,0.066,0.063
1733622638,2024-12-08,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.161,0.314,0.128,0.042,0.182,0.033,0.014,0.065,0.061
1733708869,2024-12-09,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.16,0.314,0.127,0.042,0.182,0.032,0.016,0.066,0.061
1733795162,2024-12-10,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.16,0.311,0.129,0.043,0.184,0.032,0.016,0.063,0.062
1733881482,2024-12-11,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.158,0.309,0.133,0.041,0.187,0.03,0.017,0.064,0.061
1733967843,2024-12-12,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.158,0.311,0.131,0.042,0.188,0.03,0.015,0.063,0.062
1734054337,2024-12-13,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.157,0.31,0.131,0.041,0.188,0.03,0.016,0.062,0.065
1734140462,2024-12-14,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.158,0.308,0.13,0.041,0.191,0.031,0.016,0.06,0.065
1734227424,2024-12-15,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.159,0.311,0.125,0.042,0.192,0.03,0.016,0.064,0.061
1734313664,2024-12-16,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.161,0.314,0.123,0.041,0.192,0.029,0.015,0.066,0.059
1734399848,2024-12-17,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.162,0.317,0.123,0.041,0.19,0.029,0.014,0.067,0.057
1734572486,2024-12-19,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.161,0.317,0.121,0.038,0.193,0.031,0.015,0.065,0.059
1734658593,2024-12-20,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.157,0.322,0.123,0.037,0.193,0.03,0.014,0.062,0.062
1734744426,2024-12-21,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.158,0.323,0.127,0.038,0.193,0.03,0.012,0.059,0.06
1734831720,2024-12-22,"Wen würden Sie wählen, wenn am Sonntag Bundestagswahl wäre?",0.025,0.16,0.322,0.129,0.039,0.191,0.031,0.01,0.059,0.059
